Parcel,Mean Value
17Networks_LH_VisCent_ExStr_1,1.0
17Networks_LH_VisCent_ExStr_2,1.0
17Networks_LH_VisCent_ExStr_3,1.0
17Networks_LH_VisCent_ExStr_4,1.0
17Networks_LH_VisCent_ExStr_5,1.0
17Networks_LH_VisCent_ExStr_6,1.0
17Networks_LH_VisCent_Striate_1,1.0
17Networks_LH_VisCent_ExStr_7,1.4333333333333333
17Networks_LH_VisCent_ExStr_8,1.0
17Networks_LH_VisCent_ExStr_9,1.0317460317460319
17Networks_LH_VisCent_ExStr_10,1.0
17Networks_LH_VisCent_ExStr_11,1.0
17Networks_LH_VisPeri_ExStrInf_1,1.0
17Networks_LH_VisPeri_ExStrInf_2,1.0
17Networks_LH_VisPeri_ExStrInf_3,1.0
17Networks_LH_VisPeri_ExStrInf_4,1.0
17Networks_LH_VisPeri_ExStrInf_5,1.0
17Networks_LH_VisPeri_StriCal_1,1.0
17Networks_LH_VisPeri_StriCal_2,1.0
17Networks_LH_VisPeri_ExStrSup_1,1.0
17Networks_LH_VisPeri_ExStrSup_2,1.0
17Networks_LH_VisPeri_ExStrSup_3,1.0
17Networks_LH_VisPeri_ExStrSup_4,1.0
17Networks_LH_VisPeri_ExStrSup_5,1.0
17Networks_LH_SomMotA_1,2.0
17Networks_LH_SomMotA_2,2.0454545454545454
17Networks_LH_SomMotA_3,2.0
17Networks_LH_SomMotA_4,2.0
17Networks_LH_SomMotA_5,2.0
17Networks_LH_SomMotA_6,2.193548387096774
17Networks_LH_SomMotA_7,2.0
17Networks_LH_SomMotA_8,2.176470588235294
17Networks_LH_SomMotA_9,2.0
17Networks_LH_SomMotA_10,2.0
17Networks_LH_SomMotA_11,2.0
17Networks_LH_SomMotA_12,2.3225806451612905
17Networks_LH_SomMotA_13,2.0
17Networks_LH_SomMotA_14,2.0
17Networks_LH_SomMotA_15,2.0
17Networks_LH_SomMotA_16,2.122448979591837
17Networks_LH_SomMotA_17,2.0
17Networks_LH_SomMotA_18,2.0
17Networks_LH_SomMotA_19,2.0
17Networks_LH_SomMotB_Aud_1,2.111111111111111
17Networks_LH_SomMotB_Aud_2,2.0
17Networks_LH_SomMotB_Ins_1,2.0
17Networks_LH_SomMotB_S2_1,2.5454545454545454
17Networks_LH_SomMotB_S2_2,2.0
17Networks_LH_SomMotB_Aud_3,2.3636363636363638
17Networks_LH_SomMotB_Aud_4,2.0
17Networks_LH_SomMotB_S2_3,2.0
17Networks_LH_SomMotB_S2_4,2.5238095238095237
17Networks_LH_SomMotB_S2_5,2.1052631578947367
17Networks_LH_SomMotB_S2_6,2.7027027027027026
17Networks_LH_SomMotB_Cent_1,2.0
17Networks_LH_SomMotB_Cent_2,2.0
17Networks_LH_SomMotB_Cent_3,2.0
17Networks_LH_SomMotB_Cent_4,2.0
17Networks_LH_SomMotB_Cent_5,2.0
17Networks_LH_DorsAttnA_TempOcc_1,3.0
17Networks_LH_DorsAttnA_TempOcc_2,1.7
17Networks_LH_DorsAttnA_TempOcc_3,3.274193548387097
17Networks_LH_DorsAttnA_TempOcc_4,1.6
17Networks_LH_DorsAttnA_ParOcc_1,2.759259259259259
17Networks_LH_DorsAttnA_ParOcc_2,1.6923076923076923
17Networks_LH_DorsAttnA_SPL_1,2.6470588235294117
17Networks_LH_DorsAttnA_SPL_2,1.8095238095238095
17Networks_LH_DorsAttnA_SPL_3,3.0697674418604652
17Networks_LH_DorsAttnA_SPL_4,3.1875
17Networks_LH_DorsAttnA_SPL_5,3.0
17Networks_LH_DorsAttnA_SPL_6,3.0
17Networks_LH_DorsAttnA_SPL_7,3.0
17Networks_LH_DorsAttnB_PostC_1,3.6530612244897958
17Networks_LH_DorsAttnB_PostC_2,2.382978723404255
17Networks_LH_DorsAttnB_PostC_3,3.020408163265306
17Networks_LH_DorsAttnB_PostC_4,2.7837837837837838
17Networks_LH_DorsAttnB_PostC_5,2.8125
17Networks_LH_DorsAttnB_PostC_6,2.306122448979592
17Networks_LH_DorsAttnB_PostC_7,3.0
17Networks_LH_DorsAttnB_PostC_8,2.893617021276596
17Networks_LH_DorsAttnB_PostC_9,2.5384615384615383
17Networks_LH_DorsAttnB_FEF_1,3.1627906976744184
17Networks_LH_DorsAttnB_FEF_2,3.4285714285714284
17Networks_LH_DorsAttnB_FEF_3,2.967741935483871
17Networks_LH_DorsAttnB_PrCv_1,3.1
17Networks_LH_SalVentAttnA_ParOper_1,3.6
17Networks_LH_SalVentAttnA_ParOper_2,4.608695652173913
17Networks_LH_SalVentAttnA_ParOper_3,4.0
17Networks_LH_SalVentAttnA_Ins_1,4.0
17Networks_LH_SalVentAttnA_Ins_2,3.8297872340425534
17Networks_LH_SalVentAttnA_Ins_3,4.0
17Networks_LH_SalVentAttnA_Ins_4,4.0
17Networks_LH_SalVentAttnA_FrOper_1,3.8297872340425534
17Networks_LH_SalVentAttnA_FrOper_2,4.509433962264151
17Networks_LH_SalVentAttnA_ParMed_1,4.0
17Networks_LH_SalVentAttnA_ParMed_2,4.083333333333333
17Networks_LH_SalVentAttnA_ParMed_3,3.641025641025641
17Networks_LH_SalVentAttnA_FrMed_1,3.1470588235294117
17Networks_LH_SalVentAttnA_FrMed_2,4.042553191489362
17Networks_LH_SalVentAttnA_FrMed_3,3.5
17Networks_LH_SalVentAttnB_PFCl_1,6.0
17Networks_LH_SalVentAttnB_PFCl_2,4.4
17Networks_LH_SalVentAttnB_PFCl_3,5.675
17Networks_LH_SalVentAttnB_Ins_1,6.096774193548387
17Networks_LH_SalVentAttnB_Ins_2,5.0227272727272725
17Networks_LH_SalVentAttnB_Ins_3,4.133333333333334
17Networks_LH_SalVentAttnB_OFC_1,5.862068965517241
17Networks_LH_SalVentAttnB_PFCmp_1,4.379310344827586
17Networks_LH_LimbicB_OFC_1,4.915254237288136
17Networks_LH_LimbicB_OFC_2,5.061538461538461
17Networks_LH_LimbicB_OFC_3,5.0
17Networks_LH_LimbicB_OFC_4,4.8
17Networks_LH_LimbicB_OFC_5,5.816326530612245
17Networks_LH_LimbicA_TempPole_1,5.0
17Networks_LH_LimbicA_TempPole_2,5.0
17Networks_LH_LimbicA_TempPole_3,5.0
17Networks_LH_LimbicA_TempPole_4,5.366666666666666
17Networks_LH_LimbicA_TempPole_5,5.0
17Networks_LH_LimbicA_TempPole_6,4.8
17Networks_LH_LimbicA_TempPole_7,4.4186046511627906
17Networks_LH_ContA_Temp_1,3.169811320754717
17Networks_LH_ContA_IPS_1,4.88
17Networks_LH_ContA_IPS_2,5.818181818181818
17Networks_LH_ContA_IPS_3,6.018867924528302
17Networks_LH_ContA_IPS_4,4.903846153846154
17Networks_LH_ContA_IPS_5,4.0
17Networks_LH_ContA_PFCd_1,4.258620689655173
17Networks_LH_ContA_PFClv_1,6.0588235294117645
17Networks_LH_ContA_PFClv_2,5.955555555555556
17Networks_LH_ContA_PFCl_1,3.5692307692307694
17Networks_LH_ContA_PFCl_2,6.021739130434782
17Networks_LH_ContA_PFCl_3,5.837837837837838
17Networks_LH_ContA_Cingm_1,5.627906976744186
17Networks_LH_ContB_Temp_1,6.5777777777777775
17Networks_LH_ContB_Temp_2,6.333333333333333
17Networks_LH_ContB_IPL_1,6.818181818181818
17Networks_LH_ContB_IPL_2,6.311111111111111
17Networks_LH_ContB_IPL_3,6.0
17Networks_LH_ContB_PFCd_1,6.65625
17Networks_LH_ContB_PFClv_1,6.466666666666667
17Networks_LH_ContB_PFClv_2,6.6
17Networks_LH_ContB_PFClv_3,6.25
17Networks_LH_ContB_PFCmp_1,6.32
17Networks_LH_ContC_pCun_1,5.315789473684211
17Networks_LH_ContC_pCun_2,3.6857142857142855
17Networks_LH_ContC_pCun_3,4.871794871794871
17Networks_LH_ContC_Cingp_1,6.578947368421052
17Networks_LH_ContC_Cingp_2,6.0227272727272725
17Networks_LH_DefaultA_IPL_1,7.0
17Networks_LH_DefaultA_IPL_2,7.0
17Networks_LH_DefaultA_PFCd_1,6.931818181818182
17Networks_LH_DefaultA_PFCd_2,7.0
17Networks_LH_DefaultA_PFCd_3,6.7631578947368425
17Networks_LH_DefaultA_pCunPCC_1,7.0
17Networks_LH_DefaultA_pCunPCC_2,7.0
17Networks_LH_DefaultA_pCunPCC_3,7.0
17Networks_LH_DefaultA_pCunPCC_4,6.885714285714286
17Networks_LH_DefaultA_pCunPCC_5,6.076923076923077
17Networks_LH_DefaultA_pCunPCC_6,6.714285714285714
17Networks_LH_DefaultA_pCunPCC_7,7.0
17Networks_LH_DefaultA_PFCm_1,6.743589743589744
17Networks_LH_DefaultA_PFCm_2,6.0144927536231885
17Networks_LH_DefaultA_PFCm_3,7.0
17Networks_LH_DefaultA_PFCm_4,6.87719298245614
17Networks_LH_DefaultA_PFCm_5,7.0
17Networks_LH_DefaultA_PFCm_6,6.431034482758621
17Networks_LH_DefaultB_Temp_1,5.866666666666666
17Networks_LH_DefaultB_Temp_2,6.948717948717949
17Networks_LH_DefaultB_Temp_3,7.0
17Networks_LH_DefaultB_Temp_4,7.0
17Networks_LH_DefaultB_Temp_5,7.0
17Networks_LH_DefaultB_Temp_6,7.0
17Networks_LH_DefaultB_IPL_1,7.0
17Networks_LH_DefaultB_IPL_2,6.966666666666667
17Networks_LH_DefaultB_PFCd_1,7.0
17Networks_LH_DefaultB_PFCd_2,7.0
17Networks_LH_DefaultB_PFCd_3,6.7105263157894735
17Networks_LH_DefaultB_PFCd_4,7.0
17Networks_LH_DefaultB_PFCd_5,6.978260869565218
17Networks_LH_DefaultB_PFCd_6,5.705882352941177
17Networks_LH_DefaultB_PFCl_1,6.943396226415095
17Networks_LH_DefaultB_PFCl_2,6.162162162162162
17Networks_LH_DefaultB_PFCv_1,6.966101694915254
17Networks_LH_DefaultB_PFCv_2,6.586206896551724
17Networks_LH_DefaultB_PFCv_3,7.0
17Networks_LH_DefaultB_PFCv_4,6.326530612244898
17Networks_LH_DefaultB_PFCv_5,6.809523809523809
17Networks_LH_DefaultC_IPL_1,5.30188679245283
17Networks_LH_DefaultC_Rsp_1,1.8125
17Networks_LH_DefaultC_Rsp_2,6.372093023255814
17Networks_LH_DefaultC_Rsp_3,5.340425531914893
17Networks_LH_DefaultC_PHC_1,5.975609756097561
17Networks_LH_DefaultC_PHC_2,3.767123287671233
17Networks_LH_DefaultC_PHC_3,2.764705882352941
17Networks_LH_TempPar_1,4.927272727272728
17Networks_LH_TempPar_2,4.5
17Networks_LH_TempPar_3,4.446808510638298
17Networks_LH_TempPar_4,6.175
17Networks_LH_TempPar_5,4.9423076923076925
17Networks_LH_TempPar_6,5.238095238095238
17Networks_RH_VisCent_ExStr_1,1.0
17Networks_RH_VisCent_ExStr_2,1.0
17Networks_RH_VisCent_ExStr_3,1.0
17Networks_RH_VisCent_ExStr_4,1.0
17Networks_RH_VisCent_ExStr_5,1.0
17Networks_RH_VisCent_ExStr_6,1.0
17Networks_RH_VisCent_Striate_1,1.0
17Networks_RH_VisCent_ExStr_7,1.0
17Networks_RH_VisCent_ExStr_8,1.0
17Networks_RH_VisCent_ExStr_9,1.0754716981132075
17Networks_RH_VisCent_ExStr_10,1.0
17Networks_RH_VisCent_ExStr_11,1.0
17Networks_RH_VisPeri_ExStrInf_1,1.0
17Networks_RH_VisPeri_ExStrInf_2,1.2307692307692308
17Networks_RH_VisPeri_ExStrInf_3,1.0
17Networks_RH_VisPeri_ExStrInf_4,1.0
17Networks_RH_VisPeri_ExStrInf_5,1.0
17Networks_RH_VisPeri_StriCal_1,1.0
17Networks_RH_VisPeri_StriCal_2,1.0
17Networks_RH_VisPeri_ExStrSup_1,1.0
17Networks_RH_VisPeri_ExStrSup_2,1.0
17Networks_RH_VisPeri_ExStrSup_3,1.0
17Networks_RH_VisPeri_ExStrSup_4,1.0
17Networks_RH_SomMotA_1,2.175
17Networks_RH_SomMotA_2,2.0
17Networks_RH_SomMotA_3,2.297872340425532
17Networks_RH_SomMotA_4,2.0
17Networks_RH_SomMotA_5,2.0
17Networks_RH_SomMotA_6,2.0
17Networks_RH_SomMotA_7,2.0
17Networks_RH_SomMotA_8,2.0
17Networks_RH_SomMotA_9,2.1363636363636362
17Networks_RH_SomMotA_10,2.0
17Networks_RH_SomMotA_11,2.0
17Networks_RH_SomMotA_12,2.2549019607843137
17Networks_RH_SomMotA_13,2.0
17Networks_RH_SomMotA_14,2.0
17Networks_RH_SomMotA_15,2.0
17Networks_RH_SomMotA_16,2.0
17Networks_RH_SomMotA_17,2.5517241379310347
17Networks_RH_SomMotA_18,2.0
17Networks_RH_SomMotA_19,2.0
17Networks_RH_SomMotA_20,2.0
17Networks_RH_SomMotB_Aud_1,2.262295081967213
17Networks_RH_SomMotB_Aud_2,2.0
17Networks_RH_SomMotB_Ins_1,2.090909090909091
17Networks_RH_SomMotB_S2_1,2.0
17Networks_RH_SomMotB_S2_2,2.0
17Networks_RH_SomMotB_Aud_3,2.0
17Networks_RH_SomMotB_S2_3,2.0
17Networks_RH_SomMotB_S2_4,2.0
17Networks_RH_SomMotB_S2_5,2.0
17Networks_RH_SomMotB_S2_6,2.7755102040816326
17Networks_RH_SomMotB_S2_7,2.0
17Networks_RH_SomMotB_S2_8,2.1142857142857143
17Networks_RH_SomMotB_Cent_1,2.55
17Networks_RH_SomMotB_Cent_2,2.0
17Networks_RH_SomMotB_Cent_3,2.0
17Networks_RH_DorsAttnA_TempOcc_1,1.4878048780487805
17Networks_RH_DorsAttnA_TempOcc_2,2.4878048780487805
17Networks_RH_DorsAttnA_TempOcc_3,1.88135593220339
17Networks_RH_DorsAttnA_ParOcc_1,1.5142857142857142
17Networks_RH_DorsAttnA_ParOcc_2,3.9791666666666665
17Networks_RH_DorsAttnA_ParOcc_3,1.2
17Networks_RH_DorsAttnA_SPL_1,1.2962962962962963
17Networks_RH_DorsAttnA_SPL_2,2.9444444444444446
17Networks_RH_DorsAttnA_SPL_3,2.0
17Networks_RH_DorsAttnA_SPL_4,3.0
17Networks_RH_DorsAttnA_SPL_5,3.0
17Networks_RH_DorsAttnA_SPL_6,3.0
17Networks_RH_DorsAttnA_SPL_7,2.849056603773585
17Networks_RH_DorsAttnA_SPL_8,3.0
17Networks_RH_DorsAttnB_TempOcc_1,3.4594594594594597
17Networks_RH_DorsAttnB_PostC_1,2.8653846153846154
17Networks_RH_DorsAttnB_PostC_2,3.0
17Networks_RH_DorsAttnB_PostC_3,3.09375
17Networks_RH_DorsAttnB_PostC_4,2.8260869565217392
17Networks_RH_DorsAttnB_PostC_5,2.7903225806451615
17Networks_RH_DorsAttnB_PostC_6,3.0833333333333335
17Networks_RH_DorsAttnB_PostC_7,2.7454545454545456
17Networks_RH_DorsAttnB_PostC_8,2.4390243902439024
17Networks_RH_DorsAttnB_FEF_1,3.1551724137931036
17Networks_RH_DorsAttnB_FEF_2,3.0
17Networks_RH_DorsAttnB_FEF_3,3.0689655172413794
17Networks_RH_SalVentAttnA_ParOper_1,3.5211267605633805
17Networks_RH_SalVentAttnA_ParOper_2,4.0
17Networks_RH_SalVentAttnA_ParOper_3,3.9298245614035086
17Networks_RH_SalVentAttnA_PrC_1,3.883720930232558
17Networks_RH_SalVentAttnA_Ins_1,4.092307692307692
17Networks_RH_SalVentAttnA_Ins_2,4.0
17Networks_RH_SalVentAttnA_Ins_3,4.0
17Networks_RH_SalVentAttnA_Ins_4,3.3548387096774195
17Networks_RH_SalVentAttnA_FrOper_1,3.727272727272727
17Networks_RH_SalVentAttnA_FrOper_2,3.7872340425531914
17Networks_RH_SalVentAttnA_FrOper_3,4.2444444444444445
17Networks_RH_SalVentAttnA_FrMed_1,3.1636363636363636
17Networks_RH_SalVentAttnA_ParMed_1,2.810810810810811
17Networks_RH_SalVentAttnA_ParMed_2,4.166666666666667
17Networks_RH_SalVentAttnA_FrMed_2,4.0606060606060606
17Networks_RH_SalVentAttnA_ParMed_3,3.630434782608696
17Networks_RH_SalVentAttnA_ParMed_4,3.1627906976744184
17Networks_RH_SalVentAttnA_FrMed_3,3.3333333333333335
17Networks_RH_SalVentAttnA_FrMed_4,4.129032258064516
17Networks_RH_SalVentAttnB_IPL_1,4.943396226415095
17Networks_RH_SalVentAttnB_PFClv_1,5.388888888888889
17Networks_RH_SalVentAttnB_PFCl_1,6.0
17Networks_RH_SalVentAttnB_PFCl_2,5.769230769230769
17Networks_RH_SalVentAttnB_PFCl_3,4.865671641791045
17Networks_RH_SalVentAttnB_Ins_1,5.840909090909091
17Networks_RH_SalVentAttnB_Ins_2,4.067415730337078
17Networks_RH_SalVentAttnB_PFCmp_1,6.298245614035087
17Networks_RH_SalVentAttnB_PFCmp_2,4.183908045977011
17Networks_RH_LimbicB_OFC_1,4.918032786885246
17Networks_RH_LimbicB_OFC_2,5.041666666666667
17Networks_RH_LimbicB_OFC_3,5.0
17Networks_RH_LimbicB_OFC_4,5.269230769230769
17Networks_RH_LimbicB_OFC_5,4.883720930232558
17Networks_RH_LimbicB_OFC_6,5.2105263157894735
17Networks_RH_LimbicA_TempPole_1,5.0
17Networks_RH_LimbicA_TempPole_2,5.041666666666667
17Networks_RH_LimbicA_TempPole_3,5.042553191489362
17Networks_RH_LimbicA_TempPole_4,5.0
17Networks_RH_LimbicA_TempPole_5,4.803921568627451
17Networks_RH_LimbicA_TempPole_6,4.696428571428571
17Networks_RH_ContA_IPS_1,5.314285714285714
17Networks_RH_ContA_IPS_2,4.564102564102564
17Networks_RH_ContA_IPS_3,6.0
17Networks_RH_ContA_IPS_4,3.6857142857142855
17Networks_RH_ContA_PFCd_1,4.634615384615385
17Networks_RH_ContA_PFCl_1,6.0
17Networks_RH_ContA_PFCl_2,5.666666666666667
17Networks_RH_ContA_PFCl_3,6.0
17Networks_RH_ContA_PFCl_4,3.169230769230769
17Networks_RH_ContA_PFCl_5,5.583333333333333
17Networks_RH_ContA_Cingm_1,5.6571428571428575
17Networks_RH_ContB_Temp_1,6.296875
17Networks_RH_ContB_Temp_2,5.844444444444444
17Networks_RH_ContB_IPL_1,6.666666666666667
17Networks_RH_ContB_IPL_2,6.4523809523809526
17Networks_RH_ContB_IPL_3,6.0
17Networks_RH_ContB_IPL_4,5.882352941176471
17Networks_RH_ContB_PFCld_1,6.0
17Networks_RH_ContB_PFCld_2,6.0
17Networks_RH_ContB_PFCld_3,6.0
17Networks_RH_ContB_PFCld_4,6.14
17Networks_RH_ContB_PFClv_1,6.555555555555555
17Networks_RH_ContB_PFClv_2,5.725
17Networks_RH_ContB_PFClv_3,6.06
17Networks_RH_ContB_PFClv_4,6.044943820224719
17Networks_RH_ContB_PFCmp_1,6.048780487804878
17Networks_RH_ContC_pCun_1,4.476190476190476
17Networks_RH_ContC_pCun_2,4.571428571428571
17Networks_RH_ContC_pCun_3,6.386363636363637
17Networks_RH_ContC_pCun_4,5.702702702702703
17Networks_RH_ContC_pCun_5,3.75
17Networks_RH_ContC_Cingp_1,6.7727272727272725
17Networks_RH_ContC_Cingp_2,6.019230769230769
17Networks_RH_DefaultA_Temp_1,7.0
17Networks_RH_DefaultA_IPL_1,7.0
17Networks_RH_DefaultA_IPL_2,6.884615384615385
17Networks_RH_DefaultA_PFCd_1,6.797101449275362
17Networks_RH_DefaultA_PFCd_2,6.6521739130434785
17Networks_RH_DefaultA_pCunPCC_1,7.0
17Networks_RH_DefaultA_pCunPCC_2,7.0
17Networks_RH_DefaultA_pCunPCC_3,6.821428571428571
17Networks_RH_DefaultA_pCunPCC_4,5.733333333333333
17Networks_RH_DefaultA_pCunPCC_5,7.0
17Networks_RH_DefaultA_PFCm_1,6.358695652173913
17Networks_RH_DefaultA_PFCm_2,6.612903225806452
17Networks_RH_DefaultA_PFCm_3,7.0
17Networks_RH_DefaultA_PFCm_4,7.0
17Networks_RH_DefaultA_PFCm_5,7.0
17Networks_RH_DefaultA_PFCm_6,5.972972972972973
17Networks_RH_DefaultB_Temp_1,7.0
17Networks_RH_DefaultB_Temp_2,6.962962962962963
17Networks_RH_DefaultB_AntTemp_1,6.576923076923077
17Networks_RH_DefaultB_PFCd_1,7.0
17Networks_RH_DefaultB_PFCd_2,7.0
17Networks_RH_DefaultB_PFCd_3,6.903225806451613
17Networks_RH_DefaultB_PFCd_4,7.0
17Networks_RH_DefaultB_PFCd_5,6.26530612244898
17Networks_RH_DefaultB_PFCv_1,6.446428571428571
17Networks_RH_DefaultB_PFCv_2,6.2631578947368425
17Networks_RH_DefaultB_PFCv_3,6.1
17Networks_RH_DefaultC_IPL_1,5.0476190476190474
17Networks_RH_DefaultC_IPL_2,4.7368421052631575
17Networks_RH_DefaultC_Rsp_1,1.4615384615384615
17Networks_RH_DefaultC_Rsp_2,5.55
17Networks_RH_DefaultC_PHC_1,5.489795918367347
17Networks_RH_DefaultC_PHC_2,1.7118644067796611
17Networks_RH_TempPar_1,5.777777777777778
17Networks_RH_TempPar_2,6.366197183098592
17Networks_RH_TempPar_3,6.642857142857143
17Networks_RH_TempPar_4,2.087719298245614
17Networks_RH_TempPar_5,5.051724137931035
17Networks_RH_TempPar_6,5.076923076923077
17Networks_RH_TempPar_7,3.4444444444444446
17Networks_RH_TempPar_8,2.4210526315789473
17Networks_RH_TempPar_9,6.846153846153846
17Networks_RH_TempPar_10,4.205882352941177
