0,1,2,3,X3,scaefer7,schaefer17
1,0,0,0,109.5,1,1
1,0,0,0,53.5,1,1
1,0,0,0,64,1,1
1,0,0,0,24,1,1
1,0,0,0,60,1,1
1,0,0,0,94,1,1
1,0,0,0,8,1,1
1,0,0,0,91.5,1,1
1,0,0,0,76.5,1,1
0,1,0,0,139,1,1
1,0,0,0,9,1,1
1,0,0,0,87,1,1
1,0,0,0,75,1,2
1,0,0,0,28,1,2
1,0,0,0,22,1,2
1,0,0,0,73,1,2
1,0,0,0,44,1,2
1,0,0,0,3,1,2
1,0,0,0,1,1,2
1,0,0,0,12,1,2
1,0,0,0,16,1,2
1,0,0,0,29.5,1,2
1,0,0,0,36,1,2
1,0,0,0,58,1,2
1,0,0,0,88,2,3
1,0,0,0,38,2,3
1,0,0,0,17,2,3
1,0,0,0,68,2,3
1,0,0,0,14,2,3
1,0,0,0,55,2,3
1,0,0,0,42,2,3
1,0,0,0,118.5,2,3
1,0,0,0,34,2,3
1,0,0,0,13,2,3
1,0,0,0,51,2,3
1,0,0,0,91.5,2,3
1,0,0,0,18,2,3
1,0,0,0,47,2,3
1,0,0,0,19,2,3
1,0,0,0,66,2,3
1,0,0,0,11,2,3
1,0,0,0,39,2,3
1,0,0,0,27,2,3
0,1,0,0,189,2,4
1,0,0,0,100,2,4
0,1,0,0,177,2,4
0,1,0,0,170,2,4
1,0,0,0,82,2,4
0,1,0,0,172,2,4
1,0,0,0,127,2,4
1,0,0,0,70,2,4
0,1,0,0,154,2,4
1,0,0,0,107,2,4
0,1,0,0,148,2,4
1,0,0,0,78,2,4
1,0,0,0,84,2,4
1,0,0,0,41,2,4
1,0,0,0,112,2,4
1,0,0,0,59,2,4
0,1,0,0,250,3,5
0,1,0,0,182,3,5
0,1,0,0,262,3,5
0,1,0,0,135,3,5
1,0,0,0,121,3,5
0,1,0,0,136,3,5
1,0,0,0,93,3,5
1,0,0,0,81,3,5
0,1,0,0,153,3,5
0,1,0,0,179,3,5
0,1,0,0,162,3,5
1,0,0,0,106,3,5
1,0,0,0,129.5,3,5
0,1,0,0,218,3,6
1,0,0,0,131,3,6
0,1,0,0,235.5,3,6
1,0,0,0,108,3,6
1,0,0,0,124,3,6
1,0,0,0,86,3,6
0,1,0,0,137,3,6
1,0,0,0,111,3,6
1,0,0,0,104.5,3,6
0,1,0,0,167,3,6
0,1,0,0,234,3,6
0,1,0,0,192,3,6
0,1,0,0,247,3,6
0,1,0,0,185,4,7
0,1,0,0,261,4,7
0,0,1,0,309,4,7
0,1,0,0,225,4,7
0,0,1,0,298,4,7
0,1,0,0,241.5,4,7
0,1,0,0,230,4,7
0,1,0,0,160,4,7
0,1,0,0,264,4,7
0,1,0,0,147,4,7
0,1,0,0,158,4,7
1,0,0,0,123,4,7
0,1,0,0,207,4,7
0,1,0,0,252,4,7
0,1,0,0,144,4,7
0,0,1,0,356,4,8
0,0,1,0,341.5,4,8
0,0,1,0,381,4,8
0,0,1,0,319,4,8
0,0,1,0,325,4,8
0,1,0,0,256.5,4,8
0,0,1,0,348.5,4,8
0,0,1,0,277.5,4,8
0,0,1,0,273,5,9
0,0,1,0,295,5,9
0,0,1,0,308,5,9
0,1,0,0,260,5,9
0,0,1,0,341.5,5,9
0,0,1,0,275,5,10
0,1,0,0,256.5,5,10
0,1,0,0,249,5,10
0,0,1,0,300,5,10
0,1,0,0,251,5,10
0,0,1,0,270,5,10
0,1,0,0,219,5,10
0,0,1,0,269,6,11
0,1,0,0,198,6,11
0,0,1,0,330,6,11
0,1,0,0,248,6,11
0,1,0,0,221,6,11
0,1,0,0,180,6,11
0,1,0,0,225,6,11
0,0,1,0,327,6,11
0,0,1,0,345,6,11
0,1,0,0,245,6,11
0,0,1,0,292.5,6,11
0,0,1,0,313,6,11
0,1,0,0,151,6,11
0,0,1,0,384,6,12
0,0,1,0,397,6,12
0,0,1,0,348.5,6,12
0,0,1,0,331,6,12
0,1,0,0,222.5,6,12
0,0,1,0,372,6,12
0,0,1,0,385,6,12
0,0,1,0,392,6,12
0,0,1,0,350,6,12
0,0,1,0,355,6,12
0,1,0,0,168,6,13
1,0,0,0,132,6,13
0,1,0,0,143,6,13
0,1,0,0,175.5,6,13
1,0,0,0,128,6,13
0,0,1,0,302.5,7,14
0,0,1,0,286,7,14
0,0,1,0,369.5,7,14
0,0,1,0,391,7,14
0,0,1,0,339.5,7,14
0,0,1,0,274,7,14
0,0,1,0,267.5,7,14
0,0,1,0,304,7,14
0,0,1,0,339.5,7,14
0,0,1,0,287,7,14
0,1,0,0,184,7,14
0,1,0,0,214,7,14
0,0,1,0,332,7,14
0,0,1,0,378,7,14
0,0,1,0,362.5,7,14
0,0,1,0,393,7,14
0,0,1,0,358.5,7,14
0,0,1,0,317,7,14
0,0,1,0,306,7,15
0,0,1,0,362.5,7,15
0,0,1,0,400,7,15
0,0,1,0,394,7,15
0,0,1,0,364,7,15
0,0,1,0,277.5,7,15
0,1,0,0,258.5,7,15
0,0,1,0,383,7,15
0,0,1,0,386,7,15
0,0,1,0,346,7,15
0,0,1,0,352.5,7,15
0,0,1,0,388.5,7,15
0,0,1,0,347,7,15
0,1,0,0,240,7,15
0,0,1,0,395,7,15
0,0,1,0,312,7,15
0,0,1,0,351,7,15
0,0,1,0,321,7,15
0,0,1,0,377,7,15
0,0,1,0,322,7,15
0,0,1,0,299,7,15
0,1,0,0,239,7,16
1,0,0,0,103,7,16
0,1,0,0,181,7,16
0,1,0,0,161,7,16
0,1,0,0,152,7,16
0,1,0,0,206,7,16
1,0,0,0,126,7,16
0,0,1,0,296,7,17
0,1,0,0,210,7,17
0,1,0,0,205,7,17
0,0,1,0,271,7,17
0,1,0,0,232,7,17
0,1,0,0,225,7,17
0,1,0,0,155,1,1
1,0,0,0,72,1,1
1,0,0,0,53.5,1,1
1,0,0,0,33,1,1
1,0,0,0,79.5,1,1
1,0,0,0,40,1,1
1,0,0,0,7,1,1
1,0,0,0,99,1,1
1,0,0,0,43,1,1
0,1,0,0,149,1,1
1,0,0,0,10,1,1
1,0,0,0,65,1,1
1,0,0,0,76.5,1,2
1,0,0,0,96.5,1,2
1,0,0,0,29.5,1,2
1,0,0,0,25,1,2
1,0,0,0,48.5,1,2
1,0,0,0,5,1,2
1,0,0,0,50,1,2
1,0,0,0,52,1,2
1,0,0,0,21,1,2
1,0,0,0,67,1,2
1,0,0,0,45,1,2
1,0,0,0,90,1,2
1,0,0,0,26,2,3
1,0,0,0,61,2,3
1,0,0,0,57,2,3
1,0,0,0,96.5,2,3
1,0,0,0,4,2,3
1,0,0,0,23,2,3
1,0,0,0,48.5,2,3
1,0,0,0,69,2,3
1,0,0,0,2,2,3
1,0,0,0,35,2,3
1,0,0,0,71,2,3
1,0,0,0,56,2,3
1,0,0,0,31,2,3
1,0,0,0,6,2,3
1,0,0,0,37,2,3
1,0,0,0,85,2,3
1,0,0,0,15,2,3
1,0,0,0,20,2,3
1,0,0,0,32,2,3
0,1,0,0,241.5,2,4
1,0,0,0,98,2,4
0,1,0,0,216,2,4
0,1,0,0,164,2,4
0,1,0,0,138,2,4
0,1,0,0,141,2,4
1,0,0,0,74,2,4
1,0,0,0,125,2,4
1,0,0,0,79.5,2,4
0,1,0,0,175.5,2,4
1,0,0,0,118.5,2,4
0,1,0,0,145,2,4
0,1,0,0,156,2,4
1,0,0,0,46,2,4
1,0,0,0,63,2,4
0,1,0,0,188,2,4
0,1,0,0,233,3,5
1,0,0,0,133,3,5
1,0,0,0,117,3,5
0,1,0,0,200,3,5
1,0,0,0,120,3,5
1,0,0,0,83,3,5
1,0,0,0,116,3,5
1,0,0,0,101,3,5
0,1,0,0,174,3,5
1,0,0,0,95,3,5
0,1,0,0,165,3,5
1,0,0,0,102,3,5
1,0,0,0,114,3,5
0,1,0,0,266,3,6
1,0,0,0,129.5,3,6
0,1,0,0,194,3,6
0,1,0,0,163,3,6
0,1,0,0,142,3,6
1,0,0,0,122,3,6
0,1,0,0,169,3,6
0,1,0,0,134,3,6
1,0,0,0,109.5,3,6
0,1,0,0,159,3,6
0,1,0,0,201.5,3,6
0,1,0,0,157,3,6
0,1,0,0,178,3,6
0,1,0,0,193,4,7
0,1,0,0,265,4,7
0,1,0,0,222.5,4,7
0,1,0,0,237,4,7
0,0,1,0,267.5,4,7
0,0,1,0,276,4,7
0,0,1,0,301,4,7
0,1,0,0,211,4,7
0,1,0,0,209,4,7
0,1,0,0,253,4,7
0,1,0,0,201.5,4,7
0,1,0,0,146,4,7
0,1,0,0,183,4,7
0,1,0,0,244,4,7
1,0,0,0,104.5,4,7
1,0,0,0,62,4,8
0,1,0,0,140,4,8
0,1,0,0,228,4,8
0,0,1,0,310,4,8
0,0,1,0,289,4,8
0,0,1,0,343,4,8
0,0,1,0,367,4,8
0,0,1,0,318,4,8
0,0,1,0,323,5,9
0,0,1,0,279,5,9
0,0,1,0,352.5,5,9
0,0,1,0,285,5,9
0,0,1,0,283,5,9
0,0,1,0,315,5,10
0,0,1,0,302.5,5,10
0,0,1,0,328,5,10
0,1,0,0,212,5,10
0,0,1,0,354,5,10
0,1,0,0,246,5,10
0,0,1,0,305,5,10
0,0,1,0,292.5,6,11
0,0,1,0,282,6,11
0,1,0,0,255,6,11
0,0,1,0,272,6,11
0,1,0,0,199,6,11
0,1,0,0,254,6,11
0,1,0,0,203,6,11
0,1,0,0,191,6,11
0,0,1,0,281,6,11
0,0,1,0,290,6,11
0,1,0,0,235.5,6,11
0,0,1,0,338,6,11
0,1,0,0,263,6,11
0,0,1,0,311,6,12
1,0,0,0,115,6,12
0,0,1,0,399,6,12
0,0,1,0,398,6,12
0,0,1,0,376,6,12
0,0,1,0,344,6,12
0,0,1,0,307,6,12
0,1,0,0,258.5,6,12
0,0,1,0,361,6,12
0,0,1,0,368,6,12
0,0,1,0,288,6,13
0,0,1,0,360,6,13
0,0,1,0,329,6,13
0,0,1,0,324,6,13
0,0,1,0,369.5,6,13
0,0,1,0,335,7,14
0,0,1,0,336.5,7,14
0,1,0,0,171,7,14
0,1,0,0,166,7,14
0,1,0,0,220,7,14
0,1,0,0,197,7,14
0,1,0,0,173,7,14
0,1,0,0,150,7,14
1,0,0,0,89,7,14
0,0,1,0,396,7,14
0,0,1,0,371,7,14
0,0,1,0,314,7,14
0,0,1,0,375,7,14
0,0,1,0,365,7,14
0,0,1,0,284,7,14
0,1,0,0,243,7,14
0,0,1,0,291,7,14
0,0,1,0,280,7,14
0,1,0,0,227,7,15
0,0,1,0,379.5,7,15
0,0,1,0,357,7,15
0,0,1,0,379.5,7,15
0,0,1,0,390,7,15
0,0,1,0,373,7,15
0,1,0,0,195,7,15
0,0,1,0,333,7,15
0,0,1,0,316,7,15
0,0,1,0,366,7,15
0,0,1,0,387,7,15
0,0,1,0,382,7,15
0,0,1,0,374,7,15
0,0,1,0,388.5,7,15
0,0,1,0,320,7,15
0,0,1,0,336.5,7,15
0,0,1,0,358.5,7,15
0,0,1,0,326,7,15
0,1,0,0,213,7,15
0,1,0,0,208,7,15
1,0,0,0,113,7,15
0,1,0,0,229,7,16
0,1,0,0,186,7,16
0,1,0,0,190,7,16
0,0,1,0,297,7,16
0,0,1,0,334,7,16
0,1,0,0,215,7,16
0,1,0,0,217,7,16
0,1,0,0,196,7,17
0,1,0,0,231,7,17
0,1,0,0,204,7,17
0,1,0,0,187,7,17
0,0,1,0,294,7,17
0,1,0,0,238,7,17